code,code_name,code_short
sh.600936,北投科技,600936
sh.600938,中国海油,600938
sh.600939,重庆建工,600939
sh.600941,中国移动,600941
sh.600955,维远股份,600955
sh.600956,新天绿能,600956
sh.600958,东方证券,600958
sh.600959,江苏有线,600959
sh.600960,渤海汽车,600960
sh.600961,株冶集团,600961
sh.600962,国投中鲁,600962
sh.600963,岳阳林纸,600963
sh.600965,*ST福成,600965
sh.600966,博汇纸业,600966
sh.600967,内蒙一机,600967
sh.600968,海油发展,600968
sh.600969,郴电国际,600969
sh.600970,中材国际,600970
sh.600971,恒源煤电,600971
sh.600973,宝胜股份,600973
sh.600975,新五丰,600975
sh.600976,健民集团,600976
sh.600977,中国电影,600977
sh.600978,*ST宜生,600978
sh.600979,广安爱众,600979
sh.600980,北矿科技,600980
sh.600981,苏豪汇鸿,600981
sh.600982,宁波能源,600982
sh.600983,惠而浦,600983
sh.600984,建设机械,600984
sh.600985,淮北矿业,600985
sh.600986,浙文互联,600986
sh.600987,航民股份,600987
sh.600988,赤峰黄金,600988
sh.600989,宝丰能源,600989
sh.600990,四创电子,600990
sh.600991,广汽长丰,600991
sh.600992,贵绳股份,600992
sh.600993,马应龙,600993
sh.600995,南网储能,600995
sh.600996,贵广网络,600996
sh.600997,开滦股份,600997
sh.600998,九州通,600998
sh.600999,招商证券,600999
sh.601000,唐山港,601000
sh.601001,晋控煤业,601001
sh.601002,晋亿实业,601002
sh.601003,柳钢股份,601003
sh.601005,重庆钢铁,601005
sh.601006,大秦铁路,601006
sh.601007,金陵饭店,601007
sh.601008,连云港,601008
sh.601009,南京银行,601009
sh.601010,ST文峰,601010
sh.601011,宝泰隆,601011
sh.601012,隆基绿能,601012
sh.601015,陕西黑猫,601015
sh.601016,节能风电,601016
sh.601018,宁波港,601018
sh.601019,山东出版,601019
sh.601020,华钰矿业,601020
sh.601021,春秋航空,601021
sh.601022,宁波远洋,601022
sh.601026,道生天合,601026
sh.601028,玉龙股份,601028
sh.601033,永兴股份,601033
sh.601038,一拖股份,601038
sh.601058,赛轮轮胎,601058
sh.601059,信达证券,601059
sh.601061,中信金属,601061
sh.601065,江盐集团,601065
sh.601066,中信建投,601066
sh.601068,中铝国际,601068
sh.601069,西部黄金,601069
sh.601077,渝农商行,601077
sh.601083,锦江航运,601083
sh.601086,国芳集团,601086
sh.601088,中国神华,601088
sh.601089,福元医药,601089
sh.601096,宏盛华源,601096
sh.601098,中南传媒,601098
sh.601099,太平洋,601099
sh.601100,恒立液压,601100
sh.601101,昊华能源,601101
sh.601106,中国一重,601106
sh.601107,四川成渝,601107
sh.601108,财通证券,601108
sh.601111,中国国航,601111
sh.601112,振石股份,601112
sh.601113,华鼎股份,601113
sh.601116,三江购物,601116
sh.601117,中国化学,601117
sh.601118,海南橡胶,601118
sh.601121,宝地矿业,601121
sh.601126,四方股份,601126
sh.601127,赛力斯,601127
sh.601128,常熟银行,601128
sh.601133,柏诚股份,601133
sh.601136,首创证券,601136
sh.601137,博威合金,601137
sh.601138,工业富联,601138
sh.601139,深圳燃气,601139
sh.601155,新城控股,601155
