code,code_name,code_short
sh.600172,黄河旋风,600172
sh.600173,卧龙新能,600173
sh.600175,退市美都,600175
sh.600176,中国巨石,600176
sh.600177,雅戈尔,600177
sh.600178,东安动力,600178
sh.600179,安通控股,600179
sh.600180,*ST瑞茂,600180
sh.600181,S*ST云大,600181
sh.600182,S佳通,600182
sh.600183,生益科技,600183
sh.600184,光电股份,600184
sh.600185,珠免集团,600185
sh.600186,莲花控股,600186
sh.600187,*ST国中,600187
sh.600188,兖矿能源,600188
sh.600189,泉阳泉,600189
sh.600190,退市锦港,600190
sh.600191,华资实业,600191
sh.600192,长城电工,600192
sh.600193,*ST创兴,600193
sh.600195,中牧股份,600195
sh.600196,复星医药,600196
sh.600197,伊力特,600197
sh.600198,大唐电信,600198
sh.600199,金种子酒,600199
sh.600200,退市苏吴,600200
sh.600201,生物股份,600201
sh.600202,哈空调,600202
sh.600203,福日电子,600203
sh.600205,S山东铝,600205
sh.600206,有研新材,600206
sh.600207,安彩高科,600207
sh.600208,衢州发展,600208
sh.600209,退市罗顿,600209
sh.600210,紫江企业,600210
sh.600211,西藏药业,600211
sh.600212,绿能慧充,600212
sh.600213,*ST亚星,600213
sh.600215,派斯林,600215
sh.600216,浙江医药,600216
sh.600217,中再资环,600217
sh.600218,全柴动力,600218
sh.600219,南山铝业,600219
sh.600220,ST阳光,600220
sh.600221,海航控股,600221
sh.600222,太龙药业,600222
sh.600223,福瑞达,600223
sh.600225,退市卓朗,600225
sh.600226,亨通股份,600226
sh.600227,赤天化,600227
sh.600228,*ST返利,600228
sh.600229,城市传媒,600229
sh.600230,沧州大化,600230
sh.600231,凌钢股份,600231
sh.600232,金鹰股份,600232
sh.600233,圆通速递,600233
sh.600234,科新发展,600234
sh.600235,民丰特纸,600235
sh.600236,桂冠电力,600236
sh.600237,铜峰电子,600237
sh.600238,*ST椰岛,600238
sh.600239,ST云城,600239
sh.600240,退市华业,600240
sh.600241,时代万恒,600241
sh.600242,退市中昌,600242
sh.600243,*ST海华,600243
sh.600246,万通发展,600246
sh.600247,*ST成城,600247
sh.600248,陕建股份,600248
sh.600249,两面针,600249
sh.600250,南京商旅,600250
sh.600251,冠农股份,600251
sh.600252,中恒集团,600252
sh.600253,天方药业,600253
sh.600255,鑫科材料,600255
sh.600256,广汇能源,600256
sh.600257,大湖股份,600257
sh.600258,首旅酒店,600258
sh.600259,中稀有色,600259
sh.600260,*ST凯乐,600260
sh.600261,阳光照明,600261
sh.600262,北方股份,600262
sh.600263,路桥建设,600263
sh.600265,*ST景谷,600265
sh.600266,城建发展,600266
sh.600267,海正药业,600267
sh.600268,国电南自,600268
sh.600269,赣粤高速,600269
sh.600270,外运发展,600270
sh.600271,航天信息,600271
sh.600272,开开实业,600272
sh.600273,嘉化能源,600273
sh.600275,退市昌鱼,600275
sh.600276,恒瑞医药,600276
sh.600277,ST亿利,600277
sh.600278,东方创业,600278
sh.600279,重庆港,600279
sh.600280,中央商场,600280
sh.600281,华阳新材,600281
sh.600282,南钢股份,600282
sh.600283,钱江水利,600283
sh.600284,浦东建设,600284
sh.600285,羚锐制药,600285
sh.600286,S*ST国瓷,600286
sh.600287,苏豪时尚,600287
sh.600288,大恒科技,600288
sh.600289,ST信通,600289
sh.600290,*ST华仪,600290
sh.600291,退市西水,600291
sh.600292,电投水电,600292
sh.600293,三峡新材,600293
sh.600295,鄂尔多斯,600295
sh.600296,S兰铝,600296
sh.600297,广汇汽车,600297
sh.600298,安琪酵母,600298
sh.600299,安迪苏,600299
sh.600300,维维股份,600300
sh.600301,华锡有色,600301
sh.600302,ST标准,600302
sh.600303,曙光股份,600303
sh.600305,恒顺醋业,600305
sh.600306,退市商城,600306
sh.600307,酒钢宏兴,600307
sh.600308,华泰股份,600308
sh.600309,万华化学,600309
sh.600310,广西能源,600310
sh.600311,*ST荣华,600311
sh.600312,平高电气,600312
sh.600313,农发种业,600313
sh.600315,上海家化,600315
sh.600316,洪都航空,600316
sh.600317,营口港,600317
sh.600318,新力金融,600318
sh.600319,亚星化学,600319
sh.600320,振华重工,600320
sh.600321,正源股份,600321
sh.600322,津投城开,600322
sh.600323,瀚蓝环境,600323
sh.600325,华发股份,600325
sh.600326,西藏天路,600326
sh.600327,大东方,600327
sh.600328,中盐化工,600328
sh.600329,达仁堂,600329
sh.600330,天通股份,600330
sh.600331,宏达股份,600331
sh.600332,白云山,600332
sh.600333,长春燃气,600333
sh.600335,国机汽车,600335
sh.600336,澳柯玛,600336
sh.600337,ST美克,600337
sh.600338,西藏珠峰,600338
sh.600339,中油工程,600339
sh.600340,*ST华幸,600340
sh.600343,航天动力,600343
sh.600345,长江通信,600345
sh.600346,恒力石化,600346
sh.600348,华阳股份,600348
sh.600350,山东高速,600350
sh.600351,亚宝药业,600351
sh.600352,浙江龙盛,600352
sh.600353,旭光电子,600353
sh.600354,敦煌种业,600354
sh.600355,*ST精伦,600355
sh.600356,恒丰纸业,600356
sh.600357,承德钒钛,600357
sh.600358,国旅联合,600358
sh.600359,新农开发,600359
sh.600360,*ST华微,600360
sh.600361,创新新材,600361
sh.600362,江西铜业,600362
sh.600363,联创光电,600363
sh.600365,ST通葡,600365
sh.600366,宁波韵升,600366
sh.600367,红星发展,600367
sh.600368,五洲交通,600368
sh.600369,西南证券,600369
sh.600370,*ST三房,600370
sh.600371,万向德农,600371
sh.600372,中航机载,600372
sh.600373,中文传媒,600373
sh.600375,汉马科技,600375
sh.600376,首开股份,600376
sh.600377,宁沪高速,600377
sh.600378,昊华科技,600378
sh.600379,宝光股份,600379
sh.600380,健康元,600380
sh.600381,*ST春天,600381
sh.600382,广东明珠,600382
sh.600383,金地集团,600383
sh.600385,退市金泰,600385
sh.600386,北巴传媒,600386
sh.600387,退市海越,600387
sh.600388,龙净环保,600388
sh.600389,江山股份,600389
sh.600390,五矿资本,600390
sh.600391,航发科技,600391
sh.600392,盛和资源,600392
sh.600393,ST粤泰,600393
sh.600395,盘江股份,600395
sh.600396,华电辽能,600396
sh.600397,江钨装备,600397
