date,portfolio_value,positions,cash,invested_pct,equity,daily_pnl,daily_return_pct,peak,drawdown_pct
2025-01-21,178.49,2,110.84,37.9,178.49,5.840000000000003,3.3825658847379105,183.87,-2.9259803121770793
2025-01-22,177.65,2,107.0,39.8,177.65,-0.8400000000000034,-0.4706146002577194,183.87,-3.382824821885027
2025-01-23,169.72,1,136.08,19.8,169.72,-7.930000000000007,-4.463833380242053,183.87,-7.695654538532662
2025-01-24,173.85,1,136.09,21.7,173.85,4.1299999999999955,2.433419750176759,183.87,-5.449502365801931
2025-01-27,181.42,4,49.26,72.8,181.42,7.569999999999993,4.354328444060968,183.87,-1.3324631533148512
2025-02-05,168.91,3,60.94,63.9,168.91,-12.509999999999991,-6.895601366993712,183.87,-8.136183172893896
2025-02-06,177.33,2,108.1,39.0,177.33,8.420000000000016,4.984903202889122,183.87,-3.5568608255832883
2025-02-07,186.24,2,110.02,40.9,186.24,8.909999999999997,5.024530536288274,186.24,0.0
2025-02-10,196.73,2,123.26,37.3,196.73,10.48999999999998,5.632517182130573,196.73,0.0
2025-02-11,193.33,2,118.31,38.8,193.33,-3.3999999999999773,-1.728257001982401,196.73,-1.728257001982401
2025-02-12,200.24,3,81.31,59.4,200.24,6.909999999999997,3.574199555164742,200.24,0.0
2025-02-13,192.32,1,156.92,18.4,192.32,-7.920000000000016,-3.9552536955653292,200.24,-3.9552536955653292
2025-02-14,194.54,3,79.36,59.2,194.54,2.219999999999999,1.1543261231281192,200.24,-2.846584099081111
2025-02-17,213.68,2,129.81,39.2,213.68,19.140000000000015,9.838593605428198,213.68,0.0
2025-02-18,210.1,0,210.1,0.0,210.1,-3.5800000000000125,-1.6754024709846556,213.68,-1.6754024709846556
2025-02-19,211.99,4,38.37,81.9,211.99,1.8900000000000148,0.8995716325559329,213.68,-0.790902283788842
2025-02-20,203.43,3,72.38,64.4,203.43,-8.560000000000002,-4.037926317279117,213.68,-4.796892549606889
2025-02-21,208.48,1,168.31,19.3,208.48,5.049999999999983,2.4824263874551358,213.68,-2.4335454885810637
